destination,itinerary,places_covered,hotel_details,cost_per_person,places_to_visit,weather,destination_type
Dharamshala,2 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",6866.5," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Sunrise At A Hilltop (With Transfers) ",cool,Mountains
Shimla,4 Nights Shimla,Shimla,"The Oberoi Cecil,4.7",29258.0," Pinjore Gardens ,  Viceregal Lodge ,  Mall Road ,  Kufri ,  Shimla Church ,  Scandal Point ,  Gaeity Theatre ,  Townhall ,  Naldhera ,  Mashobra ",cool,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"Le Roi Udaipur,3.7",10060.5," Lake Pichola ,  Jag Mandir Palace ,  High Tea At The Sunset Terrace Of The Fateh Prakash Palace - Mmt ,  Sajjangarh Palace ",hot,City
Manali,3 Nights Manali,Manali,"Solang Valley Resort,3.8",21527.5," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Personal Photoshoot In Manali ,  Solang Valley ",cool,Mountains
Goa,4 Nights Goa,Goa,"Grand Hyatt Goa,4.5",29629.5," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From South Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Goa,4 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",13725.5," North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ,  South Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ",hot,Beach
Shimla,4 Nights Shimla,Shimla,"Kyriad Hotel Shimla (A Unit Of Hotel C K Int.),",12827.0," Pinjore Gardens ,  Viceregal Lodge ,  Mall Road ,  Kufri ,  Shimla Church ,  Scandal Point ,  Gaeity Theatre ,  Townhall ,  Naldhera ,  Mashobra ",cool,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"Le Roi Udaipur,3.7",10414.5," Day Outing At Krishna Ranch (With Transfers, Horse Riding, Dinner & Bonfire) - Mmt ",hot,City
Goa,3 Nights Goa,Goa,"Santana Beach Resort,4.5",9136.0," North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ,  South Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ",hot,Beach
Goa,3 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",11307.5," Ahmedabad To Goa Bus Ticket With Private Transfer To North Goa Hotels - Mmt ,  Night-Out In Goa - For North Goa Clients ,  Goa To Ahmedabad Bus Ticket With Private Transfer From North Goa Hotels - Mmt ",hot,Beach
Goa,4 Nights Goa,Goa,"Palmarinha Resort And Suites,3.8",8069.0," Goa - Convenience Value Pack - Mmt ,  North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ,  South Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ",hot,Beach
Goa,3 Nights Goa,Goa,"Windsor Bay,4",11747.0, Dolphin Trip ,hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",10932.0," City Palace ,  Jantar Mantar ,  Hawa Mahal ,  Trek To The Top Of Nahargarh Fort - Mmt ,  Amer Fort ,  Dinner At Padao In Nahargarh Fort (With Transfers) - Mmt ",hot,City
Srinagar,5 Nights Srinagar,Srinagar,"The Orchard Retreat & Spa,4.6",18313.5," Dal Lake ,  Sonmarg ,  Gondola Point ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shankaracharya Temple ,  Shalimar Garden ",moderate,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",21672.0," Dinner At Padao In Nahargarh Fort (With Transfers) - Mmt ,  Rajasthan - Convenience Value Pack - Suv - Mmt ,  Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Ticket To Light And Sound Show At Amer Fort - Mmt ,  Personal Photoshoot At Amer Fort - Mmt ,  Night City Tour Of Jaipur (With Transfers) - Mmt ,  Hot Air Balloon Ride (With Transfers) - Mmt ",hot,City
Goa,3 Nights Goa,Goa,"Doubletree By Hilton Hotel Goa,Arpora, Baga,3.9",9671.5, Dudhsagar Trip - For North Goa Hotels - Wagonr/Similar ,hot,Beach
Agra,2 Nights Agra,Agra,"Kanchan Villa,3.6",3044.5, Self Drive Suv For 2 Days From Delhi ,hot,City
Srinagar,4 Nights Srinagar,Srinagar,"The Orchard Retreat & Spa,4.6",16804.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ",moderate,Mountains
Goa,3 Nights Goa,Goa,"Estrela Do Mar Beach Resort , A Beach Property,4",13855.0, Mmt - Candid Photographer In Goa ,hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",12145.0," City Palace ,  Jantar Mantar ,  Hawa Mahal ,  Cycle Safari With A Tractor Ride In A Village In Jaipur, Rajasthan - Mmt ,  Amer Fort ,  Dinner At 1135Ad Restaurant In Amer Fort - Mmt ,  Ticket To Light And Sound Show At Amer Fort - Mmt ",hot,City
Udaipur,2 Nights Udaipur,Udaipur,"Le Roi Udaipur,3.7",10464.5," Lake Pichola ,  Jag Mandir Palace ,  Private Sunset Boat Ride At Lake Pichola - Mmt ,  Sajjangarh Palace ",hot,City
Udaipur,2 Nights Udaipur,Udaipur,"Golden Tulip Hotel Udaipur,3.3",10310.0, Cable Car Ride & Fort Tour Near Lake Pichola (With Lunch & Transfers) - Mmt ,hot,City
Goa,3 Nights Goa,Goa,"Taj Fort Aguada Resort & Spa, Candolim,Goa,4.6",26793.0, Romantic Experiences For Couples From North Goa Hotels (With Transfers) ,hot,Beach
Srinagar,2 Nights Srinagar,Srinagar,"The Orchard Retreat & Spa,4.6",11823.5," Dal Lake ,  Gondola Point ",moderate,Mountains
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 1 Nights Jodhpur , 1 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Souvenir Peppermint,3.9,Nirali Dhani Ethnic Hotel,3.9,Amantra Shilpi Resort Spa & Club,3.9",13907.0," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Albert Hall Museum ,  Mehrangarh Fort ,  Jaswant Thada ,  City Palace ,  Lake Pichola ",hot,City
Udaipur,2 Nights Udaipur,Udaipur,"Hotel Horizon,3.7",5311.5, Cable Car Ride & Fort Tour Near Lake Pichola (With Lunch & Transfers) - Mmt ,hot,City
Goa,3 Nights Goa,Goa,"Santana Beach Resort,4.5",6828.5," Mumbai To Goa Bus Ticket With Private Transfer To South Goa Hotels - Mmt ,  South Goa Hop-On Hop-Off (Hoho) Tour (1 Day Pass Without Transfers) - Mmt ,  Goa To Mumbai Bus Ticket With Private Transfer From South Goa Hotels - Mmt ",hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Golden Tulip Jaipur,4.1",12468.5," City Palace ,  Jantar Mantar ,  Hawa Mahal ,  Full Day Trip To Eleday Elephant Park (With Lunch & Transfers) - Mmt ,  Amer Fort ,  Dinner At Samode Palace Infinity Pool ",hot,City
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Hotel The Vaikunth,3.9",11389.0," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Kangra Devi Temple ",cool,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Samode Bagh,4.4",12714.5," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Jaipur,2 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",10009.5," Amer Fort ,  Jal Mahal ,  Balaji Temple ",hot,City
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",12936.5," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Kangra Art Museum ",cool,Mountains
Srinagar,4 Nights Srinagar,Srinagar,"California Group Of Houseboats,3.6",11088.5," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ",moderate,Mountains
Jaipur,2 Nights Jaipur,Jaipur,"Red Fox Hotel , Mmt Holiday Special,",5540.5, Self Drive Suv For 3 Days From Delhi ,hot,City
Dharamshala,2 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",7516.0," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Sunrise At A Hilltop (With Transfers) ",cool,Mountains
Goa,3 Nights Goa,Goa,"Estrela Do Mar Beach Resort , A Beach Property,4",9227.5," Mmt - The Crocodile Dundee (Excluding Transfers) ,  North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ",hot,Beach
Goa,3 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",15331.0, South Goa Hop-On Hop-Off (Hoho) Tour (1 Day Pass Without Transfers) - Mmt ,hot,Beach
"Jaipur, Jodhpur, Udaipur","3 Nights Jaipur , 2 Nights Jodhpur , 2 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Souvenir Peppermint,3.9,Park Plaza , Mmt Holidays Special,4.2,Justa Rajputana,",18764.0," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Albert Hall Museum ,  Bhangarh Fort ,  Mehrangarh Fort ,  Jaswant Thada ,  Umaid Bhawan Palace ",hot,City
Goa,4 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",20278.0," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From South Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Goa,3 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",9450.0," Ahmedabad To Goa Bus Ticket With Private Transfer To South Goa Hotels - Mmt ,  South Goa Hop-On Hop-Off (Hoho) Tour (1 Day Pass Without Transfers) - Mmt ,  Goa To Ahmedabad Bus Ticket With Private Transfer From South Goa Hotels - Mmt ",hot,Beach
Shimla,4 Nights Shimla,Shimla,"Summit Thistle Villa Resort & Spa,4.3",14675.5," Pinjore Gardens ,  Viceregal Lodge ,  Mall Road ,  Kufri ,  Shimla Church ,  Scandal Point ,  Gaeity Theatre ,  Townhall ,  Naldhera ,  Mashobra ",cool,Mountains
Goa,3 Nights Goa,Goa,"Vivanta Goa, Panaji,4.7",22954.0, Couple'S Exclusive In Goa - For North Goa Clients ,hot,Beach
Manali,4 Nights Manali,Manali,"Larisa Resort,4.5",17499.5," Pandoh Dam ,  Hadimba Temple ,  Tibetan Monastery ,  Vashishth Kund ,  Mall Road ,  Vanvihar ,  Solang Valley ,  Manikaran ",cool,Mountains
Goa,3 Nights Goa,Goa,"Estrela Do Mar Beach Resort , A Beach Property,4",13655.0, Romantic Experiences For Couples From North Goa Hotels (With Transfers) ,hot,Beach
Srinagar,2 Nights Srinagar,Srinagar,"The Orchard Retreat & Spa,4.6",11515.5," Dal Lake ,  Gondola Point ",moderate,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"The Ananta,4.4",6747.0," Lake Pichola ,  Jag Mandir Palace ,  Return Volvo Tickets Ex Indore ,  Sajjangarh Palace ",hot,City
Srinagar,3 Nights Srinagar,Srinagar,"Royal Group Of Deluxe Houseboats,3.7",17252.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ",moderate,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"Hotel Horizon,3.7",8302.5," Lake Pichola ,  Jag Mandir Palace ,  Sajjangarh Palace ",hot,City
Udaipur,2 Nights Udaipur,Udaipur,"Radisson Blu Udaipur Palace Resort & Spa,4.1",10560.0," Jag Mandir Palace ,  Lake Pichola ",hot,City
Goa,3 Nights Goa,Goa,"Hard Rock Hotel Goa,4.2",19981.0, Dolphin Trip ,hot,Beach
Shimla,3 Nights Shimla,Shimla,"Wildflower Hall, An Oberoi Resort, Shimla,4.7",20989.5," Shimla Church ,  Scandal Point ,  Gaeity Theatre ,  Townhall ,  Kufri ,  Indira Bunglow ,  Himalayan Zoo ,  Naldhera ,  Mall Road ,  Scandal Point ,  Shimla Church ,  Gaeity Theatre ,  Townhall ",cool,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"Le Roi Udaipur,3.7",12373.0, Cable Car Ride & Fort Tour Near Lake Pichola (With Lunch & Transfers) - Mmt ,hot,City
Goa,3 Nights Goa,Goa,"The Grand Leoney Resort,4.2",9749.0, Visit To Elephant Village (With Transfers And Lunch) For Guests Staying In North Goa Only - Mmt ,hot,Beach
Chennai,3 Nights Chennai,Chennai,"The Park Chennai,3.8",18355.0," Marina Beach ,  Fort St. George ,  Kapaleeshwar Temple ",moderate,City
Goa,4 Nights Goa,Goa,"Resort De Alturas,3.4",11875.5," Goa - Convenience Value Pack - Mmt ,  North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ,  South Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ",hot,Beach
Goa,2 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",6263.5," Bangalore To Goa Bus Ticket - Mmt ,  Jet Ski And Ringo Ride At Calangute Beach - Mmt ,  Goa To Bangalore By Bus (Departure Between 5 Pm - 9 Pm) ",hot,Beach
Goa,3 Nights Goa,Goa,"Keys Select Ronil Resort,3.7",12675.0, South Goa Sightseeing By An Muv - For South Goa Hotels - Mmt ,hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Leisure Inn Grand Chanakya,4",19683.0," Rajasthan - Convenience Value Pack - Suv - Mmt ,  Walking And Food Tasting Tour - Mmt ,  Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Dinner At Padao In Nahargarh Fort (With Transfers) - Mmt ,  Personal Photoshoot At Amer Fort - Mmt ,  Jeep Safari In A Village - Mmt ,  Hot Air Balloon Ride (With Transfers) - Mmt ",hot,City
